Host family,Host genus,Host species,MSW Bionomial,MaleBW(kg),FemBW(kg),SpecRW(kg),MaleL(cm),FemL(cm),SpecL(cm),MaleBrainW(g),FemBrainW(g),SpecBrainW(g),MaleSkullL(mm),FemSkullL(mm),WeightDim,LengthDim,BrainDim,SkullDim,field20,LitterSize,Gest(days),BirthW(g),LittW(g),Wean(days),IndepAge(days), MaleSexMat(days),FemSexMat(days),IntBirthInt(months),EyesOpen(days),ParturitionHabitat,field32,CapLongev(months),WildLongev(months),Longevity(months),Diet,Activity,field38,MassSpecBMR(mL O2/min),TotBMR(mL O2/min),BodyTemp(°C),Hematocrit(%),Hb (g% or g/100 mL),RBC(x10^6/mm3) or (x10^12/L),O2Capacity(mL/100 mL),O2CombiningCapacity (mL O2/g Hb),BloodVolume(mL/kg body mass),HeartRate (beats/min),field49,MS,Groupsize,PopDens(per km2),HomeRange(km2),Migratory,Territoriality,Habitat
Procyonidae,Nasua,narica,Nasua narica,4.78,4.14,4.46,60.70,51.50,56.1,37.00,37.00,37.00,,,1.15,1.17,1.00,,,4.00,73.50,140.00,560.00,130.00,365.00,1186.25,875.00,12.00,5.00,Land,,212.00,168.00,212.00,Omnivore,Diurnal,,8.61,38.42,38.85,,,,,,,,,Polygynous,Groups,26.00,0.60,,Yes,Terrestrial
Procyonidae,Nasua,nasua,Nasua nasua,3.97,3.45,3.71,,,54.9,,,29.96,,,1.15,,,,,4.18,73.50,150.00,628.12,135.00,,,730.00,12.00,8.00,Land,,121.00,168.00,168.00,Omnivore,Diurnal,,4.92,18.28,38.71,39.50,11.90,6.70,,,,70.00,,,Groups,17.80,1.05,,No,Terrestrial
Procyonidae,Nasuella,olivacea,Nasuella olivacea,,,0,38.30,39.40,38.85,,,27.93,,,,0.97,,,,,,,,,,,,,,Land,,18.00,,,Omnivore,Diurnal?,,,,,,,,,,,,,,,,,,,Terrestrial
Felidae,Neofelis,nebulosa,Neofelis nebulosa,12.00,9.45,10.72,,,84.1,,,68.71,,,1.26,,,,,2.54,89.75,166.50,422.91,145.00,,765.00,721.50,,9.25,Land,,204.00,,204.00,Carnivore,Arrhythmic,,,,,40.90,12.85,7.26,,,,,,,,,,,,Terrestrial
Otariidae,Neophoca,cinerea,Neophoca cinerea,300.00,78.55,189.27,212.50,148.20,180.35,440.00,337.50,388.75,299.69,244.23,3.81,1.43,1.30,1.22,,1.00,255.00,7000.00,7000.00,540.00,,2190.00,1095.00,18.00,0.00,Land,,100.00,192.00,192.00,Omnivore,Arrhythmic,,,,,56.28,19.00,5.53,,,,120.00,,Polygynous,,,,No,No,Aquatic
Canidae,Nyctereutes,procyonoides,Nyctereutes procyonoides,3.74,4.68,4.21,46.70,43.04,44.87,,,28.50,109.10,108.32,0.79,1.08,,1.00,,6.00,61.50,83.75,502.50,53.50,150.00,327.85,313.92,12.00,9.50,Land,,128.00,168.00,168.00,Omnivore,Nocturnal,,6.87,28.98,,,,,,,,122.00,,Monogamous,Pairs,12.02,0.89,,No,Terrestrial
Odobenidae,Odobenus,rosmarus,Odobenus rosmarus,1232.95,811.50,1022.22,315.75,260.00,287.87,1303.00,1340.50,1160.87,361.50,329.25,1.51,1.21,0.97,1.09,,1.00,330.00,59090.90,59090.90,720.00,730.00,3285.00,2372.50,24.00,0.00,Pack-ice,,426.13,480.00,480.00,Omnivore,Arrhythmic,,,,36.60,46.00,16.47,3.26,23.40,,106.00,55.00,,Polygynous,,1.27,,Yes,No,Aquatic
Phocidae,Ommatophoca,rossii,Ommatophoca rossii,173.80,185.00,179.4,199.00,214.60,206.8,425.00,530.00,477.50,241.54,222.84,0.93,0.92,0.80,1.08,,1.00,247.50,17000.00,17000.00,28.00,28.00,1277.50,1323.12,12.00,0.00,Pack-ice,,,252.00,252.00,Cephalopods,Crepuscular?,,,,37.80,,,,,,132.20,151.00,,Polygamous,Solitary,0.16,,Yes?,No,Aquatic
Felidae,Oncifelis,colocolo,Oncifelis colocolo,,,4.92,,,61.5,,,33.11,,,,,,,,2.00,,,,,,,,,,Land,,,,,Carnivore,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
Felidae,Oncifelis,geoffroyi,Oncifelis geoffroyi,2.20,2.20,2.2,59.00,56.05,57.52,32.50,35.50,34.00,,,1.00,1.05,0.91,,,2.00,69.50,65.00,130.00,63.00,,720.00,480.00,8.00,14.00,Land,,,,,Carnivore,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
