Host family,Host genus,Host species,MSW Bionomial,MaleBW(kg),FemBW(kg),SpecRW(kg),MaleL(cm),FemL(cm),SpecL(cm),MaleBrainW(g),FemBrainW(g),SpecBrainW(g),MaleSkullL(mm),FemSkullL(mm),WeightDim,LengthDim,BrainDim,SkullDim,field20,LitterSize,Gest(days),BirthW(g),LittW(g),Wean(days),IndepAge(days), MaleSexMat(days),FemSexMat(days),IntBirthInt(months),EyesOpen(days),ParturitionHabitat,field32,CapLongev(months),WildLongev(months),Longevity(months),Diet,Activity,field38,MassSpecBMR(mL O2/min),TotBMR(mL O2/min),BodyTemp(°C),Hematocrit(%),Hb (g% or g/100 mL),RBC(x10^6/mm3) or (x10^12/L),O2Capacity(mL/100 mL),O2CombiningCapacity (mL O2/g Hb),BloodVolume(mL/kg body mass),HeartRate (beats/min),field49,MS,Groupsize,PopDens(per km2),HomeRange(km2),Migratory,Territoriality,Habitat
Viverridae,Genetta,victoriae,Genetta victoriae,,,2.5,,,57.24,,,20.90,,,,,,,,,,,,,,,,,,Land,,,,,,,,,,,,,,,,,,,,,,,,,Terrestrial
Mustelidae,Gulo,gulo,Gulo gulo,12.85,10.35,11.6,83.07,74.27,78.67,84.50,72.50,78.50,150.73,140.00,1.24,1.11,1.16,1.07,,2.80,35.00,99.20,277.76,70.00,639.00,702.91,668.59,27.00,27.94,Land,,216.00,204.00,216.00,Carnivore,Nocturnal,,7.04,81.77,38.00,,,,,,,,,Polygamous,Solitary,7.91614425842614e-03,549.56,,Yes,Terrestrial
Phocidae,Halichoerus,grypus,Halichoerus grypus,233.00,155.00,194,216.35,180.00,198.17,342.50,272.50,307.50,279.41,227.14,1.50,1.20,1.25,1.23,,1.00,242.00,14468.75,14468.75,19.53,21.00,2190.00,1642.50,12.00,0.00,Pack-ice,,560.07,552.00,560.07,Carnivore,,,3.31,643.43,36.50,56.00,19.02,5.13,22.15,1.31,194.03,127.50,,Polygynous,,,,No,No,Aquatic
Ursidae,Helarctos,malayanus,Helarctos malayanus,65.00,50.00,57.5,,,122.44,,,354.24,,,1.30,,,,,1.50,96.10,325.00,487.50,90.00,,,,,14.00,Land,,297.00,,297.00,Folivore / Frugivore,Nocturnal,,,,,,,,,,,,,,Solitary or Groups,,,,,Terrestrial
Herpestidae,Helogale,hirtula,Helogale hirtula,,,0.81,,,23.04,,,5.00,,,,,,,,,,,,,,,,,,Land,,,,,Insectivore,Diurnal,,,,,,,,,,,,,Monogamous,,,,,,Terrestrial
Herpestidae,Helogale,parvula,Helogale parvula,0.24,0.24,0.24,,,20.21,4.50,5.00,4.75,,,0.99,,0.90,,,3.60,51.00,,,21.00,,,300.00,4.66,,Land,,131.00,,131.00,Insectivore,Diurnal,,,,,,,,,,,,,Monogamous,Groups,,0.30,,,Terrestrial
Viverridae,Hemigalus,derbyanus,Hemigalus derbyanus,0.80,0.86,0.83,,,46,22.00,16.00,19.00,,,0.93,,1.37,,,1.50,,125.00,187.50,70.00,,,,,9.75,Land,,144.00,,144.00,Omnivore,Nocturnal,,,,,,,,,,,,,,Solitary,,,,,Terrestrial
Felidae,Herpailurus,yaguarondi,Herpailurus yaguarondi,7.00,,6.87,,,66.05,,,40.04,,,,,,,,2.75,73.41,,,,,,912.50,6.00,,Land,,127.83,,127.83,Carnivore,Arrhythmic,,,,,,,,,,,,,,Solitary or Pairs,0.52,,,No,Terrestrial
Herpestidae,Herpestes,brachyurus,Herpestes brachyurus,1.59,0.79,1.19,,,41.57,14.00,11.00,12.50,,,2.01,,1.27,,,3.50,,,,,,,,,,Land,,,,,Piscivorous?,Nocturnal?,,,,,,,,,,,,,,,,,,,Terrestrial
Herpestidae,Herpestes,edwardsii,Herpestes edwardsii,1.52,1.04,1.28,,,39.94,11.00,10.00,10.50,,,1.46,,1.10,,,2.58,60.50,,,35.00,,,270.00,3.60,16.50,Land,,,,,Omnivore,Diurnal,,,,,,,,,,,,,,Solitary,,,,,Terrestrial
Herpestidae,Herpestes,ichneumon,Herpestes ichneumon,3.20,2.90,3.05,,,57.5,23.60,23.00,23.30,,,1.10,,1.02,,,3.30,72.75,,,60.00,365.00,730.00,730.00,12.00,,Land,,240.00,144.00,240.00,Omnivore,Arrhythmic,,,,,,,,,,,,,,Pairs to family clans,,,,,Terrestrial
Herpestidae,Herpestes,javanicus,Herpestes javanicus,1.03,0.53,0.78,29.77,23.97,26.87,7.50,7.00,7.25,,,1.94,1.24,1.07,,,2.67,46.00,21.00,56.17,45.50,84.00,180.00,200.00,6.00,18.50,Land,,120.00,,120.00,Omnivore,Diurnal,,12.50,9.75,38.93,49.60,11.20,,,,,,,,Solitary,,0.75,,,Terrestrial
Herpestidae,Herpestes,naso,Herpestes naso,,,3,,,55.43,,,25.53,,,,,,,,,,,,,,,,,,Land,,,,,,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
Herpestidae,Herpestes,palustris,Herpestes palustris,,,0.74,,,30.79,,,7.24,,,,,,,,,,,,,,,,,,Land,,,,,,,,,,,,,,,,,,,,,,,,,Terrestrial
Herpestidae,Herpestes,semitorquatus,Herpestes semitorquatus,,,0,,,0,,,,,,,,,,,,,,,,,,,,,Land,,,,,,,,,,,,,,,,,,,,,,,,,Terrestrial
Herpestidae,Herpestes,smithii,Herpestes smithii,2.15,1.25,1.7,,,40.74,14.10,13.50,13.80,,,1.72,,1.04,,,2.50,,,,,,,,,,Land,,,,,Omnivore,Nocturnal,,,,,,,,,,,,,,Pairs,,,,,Terrestrial
Herpestidae,Herpestes,urva,Herpestes urva,2.72,2.04,2.38,,,50.77,22.00,20.00,21.00,,,1.33,,1.10,,,3.00,63.00,,,,,,,,,Land,,160.00,,160.00,Omnivore,Nocturnal,,,,,48.50,15.30,11.60,,,,,,,,,,,,Terrestrial
Herpestidae,Herpestes,vitticollis,Herpestes vitticollis,3.06,1.70,2.38,,,47.81,25.60,26.00,25.80,,,1.80,,0.98,,,3.00,,,,,,,,,,Land,,,,,,Arrhythmic,,,,,,,,,,,,,,,,,,,Terrestrial
Hyaenidae,Hyaena,hyaena,Hyaena hyaena,27.00,26.60,26.8,110.80,110.80,110.8,97.60,98.00,97.80,,,1.01,1.00,0.99,,,2.50,87.00,700.00,1750.00,120.00,,912.50,821.00,,7.03,Land,,288.00,288.00,288.00,Omnivore,Nocturnal and Crepuscular,,2.85,76.38,,44.50,15.60,7.75,,,,,,,Groups,,58.00,,Yes,Terrestrial
Phocidae,Hydrurga,leptonyx,Hydrurga leptonyx,324.00,367.00,345.5,287.00,322.48,304.74,765.00,660.00,712.50,374.04,408.64,0.88,0.88,1.15,0.91,,1.00,276.00,30000.00,30000.00,28.00,28.00,1460.00,1204.50,12.00,0.00,Pack-ice,,83.00,312.00,312.00,Omnivore,Arrhythmic?,,,,,,19.60,4.40,,,,,,,Solitary,0.11,,Yes,No,Aquatic
Herpestidae,Ichneumia,albicauda,Ichneumia albicauda,4.25,3.53,3.89,,,57.33,26.10,22.50,24.30,,,1.20,,1.16,,,2.50,,,,,270.00,730.00,730.00,,,Land,,144.00,,144.00,Insectivore,Nocturnal,,,,,,,,,,,,,,Solitary,4.30,4.40,,Yes,Terrestrial
Mustelidae,Ictonyx,libyca,Ictonyx libyca,0.22,,0.22,,,24.25,,,4.48,,,,,,,,2.00,37.00,,,,,,,,,Land,,60.00,,60.00,Omnivore,Nocturnal,,,,,,,,,,,,,,,,,,,Terrestrial
Mustelidae,Ictonyx,striatus,Ictonyx striatus,0.91,0.63,0.77,,,33.5,11.10,8.50,9.80,,,1.44,,1.30,,,2.30,36.00,15.00,34.50,56.00,,660.00,285.00,12.00,35.16,Land,,160.00,,160.00,Omnivore,Nocturnal,,,,,,,,,,,,,,Solitary,,,,,Terrestrial
Felidae,Leopardus,pardalis,Leopardus pardalis,13.01,10.75,11.88,79.83,67.31,73.57,67.60,60.00,63.80,134.81,121.00,1.21,1.18,1.12,1.11,,1.50,80.00,250.00,375.00,270.00,759.00,742.50,653.00,18.00,9.97,Land,,243.00,,243.00,Carnivore,Arrhythmic,,5.16,61.38,37.75,41.50,13.10,8.08,,,,,,,Solitary,0.39,6.36,,Yes?,Terrestrial
Felidae,Leopardus,tigrinus,Leopardus tigrinus,2.60,1.75,2.17,,,49.91,,,32.13,,,1.48,,,,,1.50,75.00,60.00,90.00,90.00,,,821.25,,17.00,Land,,240.00,,240.00,Carnivore,Arrhythmic,,,,,,,,,,,,,,,,,,,Terrestrial
Felidae,Leopardus,wiedii,Leopardus wiedii,,,3.28,,,63.2,,,33.78,,,,,,,,1.50,80.00,125.25,187.87,84.00,,,912.50,,13.50,Land,,240.00,,240.00,Carnivore,Nocturnal,,4.66,15.31,,,,,,,,,,,,,,,,Terrestrial
Felidae,Leptailurus,serval,Leptailurus serval,13.00,10.40,11.7,,,83.5,56.60,57.00,56.80,,,1.25,,0.99,,,2.40,71.00,254.00,631.20,145.00,,510.00,770.00,6.00,9.03,Land,,237.00,276.00,276.00,Carnivore,Arrhythmic,,,,,37.75,13.40,6.22,,,,,,,Solitary or Pairs,,2.40,,Yes,Terrestrial
Phocidae,Leptonychotes,weddellii,Leptonychotes weddellii,360.00,376.00,368,250.00,259.50,254.75,501.50,563.15,526.16,284.81,260.66,0.95,0.96,0.89,1.09,,1.00,262.75,29000.00,29000.00,45.00,50.00,1642.50,1095.00,12.00,0.00,Fast-ice,,7.00,300.00,300.00,Omnivore,Arrhythmic,,5.15,1895.20,36.70,58.72,23.70,3.73,33.68,1.34,181.10,60.00,,Polygynous,Solitary,0.12,,No,No,Aquatic
Herpestidae,Liberiictis,kuhni,Liberiictis kuhni,2.30,1.00,1.65,42.30,47.80,45.05,,,16.97,,,2.30,0.88,,,,,,,,,,,,,,Land,,,,,Omnivore,Diurnal,,,,,,,,,,,,,,Groups,,,Yes,,Terrestrial
Phocidae,Lobodon,carcinophagus,Lobodon carcinophagus,220.50,224.00,222.25,226.00,228.50,227.25,578.16,538.75,558.45,273.35,270.92,0.98,0.98,1.07,1.00,,1.00,255.00,22000.00,22000.00,31.50,29.75,1460.00,1277.50,12.00,0.00,Pack-ice,,1.00,468.00,468.00,Krill,Nocturnal and Crepuscular,,,,,,18.20,4.41,,,116.55,,,Monogamous?,Solitary,1.01,,No,No,Aquatic
Mustelidae,Lontra,canadensis,Lontra canadensis,8.60,7.80,8.2,,,68.51,55.10,50.50,52.80,,,1.10,,1.09,,,3.00,56.00,140.00,420.00,106.50,225.00,730.00,730.00,12.00,33.12,Land,,276.00,300.00,300.00,Carnivore,Nocturnal and Crepuscular,,,,,,,,,,,153.50,,,Solitary,1.12,18.68,,No,Semi-Aquatic
Mustelidae,Lontra,felina,Lontra felina,,,4.09,,,67.85,,,38.86,,,,,,,,3.25,61.50,,,,,,,12.00,,Land,,,,,,Diurnal,,,,,,,,,,,,,,,,,,,Semi-Aquatic
Mustelidae,Lontra,longicaudis,Lontra longicaudis,9.25,3.86,6.55,,,60.18,,,,,,2.39,,,,,,,,,,,,,,,Land,,,,,Carnivore,Nocturnal and Crepuscular,,,,,,,,,,,,,,,,,,,Semi-Aquatic
Mustelidae,Lontra,provocax,Lontra provocax,,,0,,,58.99,,,,,,,,,,,,,,,,,,,,,Land,,,,,,,,,,,,,,,,,,,,,,,,,Semi-Aquatic
Mustelidae,Lutra,lutra,Lutra lutra,10.70,7.10,8.9,,,69,45.00,39.00,42.00,,,1.50,,1.15,,,2.06,62.87,285.00,589.54,112.00,238.00,756.00,720.00,12.00,35.87,Land,,144.00,,144.00,Carnivore,Nocturnal,,7.50,66.75,,,,,,,,,,,Solitary,0.85,28.07,,Yes,Semi-Aquatic
Mustelidae,Lutra,maculicollis,Lutra maculicollis,4.58,3.50,4.04,,,59.58,47.00,33.00,40.00,,,1.30,,1.42,,,2.00,56.00,,,,,,730.00,12.00,,Land,,,,,Carnivore,Arrhythmic,,,,,,,,,,,,,,Pairs,,,,,Semi-Aquatic
Mustelidae,Lutra,sumatrana,Lutra sumatrana,,,6.48,,,76.5,,,,,,,,,,,,,,,,,,,,,Land,,,,,Carnivore,,,,,,,,,,,,,,,,,,,,Semi-Aquatic
Mustelidae,Lutrogale,perspicillata,Lutrogale perspicillata,10.26,7.30,8.78,,,88.89,69.00,61.00,65.00,,,1.40,,1.13,,,3.25,62.00,,,126.00,,,,,,Land,,180.00,,180.00,Carnivore,,,,,,,,,,,,,,,Pairs,,7.00,,,Semi-Aquatic
Canidae,Lycaon,pictus,Lycaon pictus,21.80,22.20,22,94.00,94.00,91.42,130.00,128.00,129.00,,,0.98,1.00,1.01,,,8.80,70.50,365.00,3212.00,77.00,390.00,944.25,660.00,13.00,11.94,Land,,132.00,,132.00,Carnivore,Diurnal,,11.10,244.27,38.50,46.00,16.86,8.16,,,,,,Monogamous,Groups,8.51063829787234e-03,2287.50,,No,Terrestrial
Mustelidae,Lyncodon,patagonicus,Lyncodon patagonicus,,,0.22,,,32.43,,,,,,,,,,,,,,,,,,,,,Land,,,,,,Nocturnal and Crepuscular,,,,,,,,,,,,,,,,,,,Terrestrial
